country_id,year,sitc_eci,hs_eci,growth_proj,sitc_eci_rank,hs_eci_rank
36,1986,,0,,,72
40,1986,,0,,,72
48,1986,,0,,,72
50,1986,,0,,,72
51,1986,,0,,,72
56,1986,,0,,,72
68,1986,,0,,,72
70,1986,,0,,,72
72,1986,,0,,,72
76,1986,,0,,,72
100,1986,,0,,,72
104,1986,,0,,,72
112,1986,,0,,,72
116,1986,,0,,,72
120,1986,,0,,,72
124,1986,,0,,,72
144,1986,,0,,,72
148,1986,,0,,,72
152,1986,,0,,,72
156,1986,,0,,,72
170,1986,,0,,,72
178,1986,,0,,,72
180,1986,,0,,,72
188,1986,,0,,,72
191,1986,,0,,,72
192,1986,,0,,,72
196,1986,,0,,,72
203,1986,,0,,,72
204,1986,,0,,,72
208,1986,,0,,,72
214,1986,,0,,,72
218,1986,,0,,,72
222,1986,,0,,,72
226,1986,,0,,,72
231,1986,,0,,,72
233,1986,,0,,,72
246,1986,,0,,,72
250,1986,,0,,,72
266,1986,,0,,,72
268,1986,,0,,,72
276,1986,,0,,,72
288,1986,,0,,,72
300,1986,,0,,,72
320,1986,,0,,,72
324,1986,,0,,,72
332,1986,,0,,,72
340,1986,,0,,,72
344,1986,,0,,,72
348,1986,,0,,,72
356,1986,,0,,,72
360,1986,,0,,,72
364,1986,,0,,,72
368,1986,,0,,,72
372,1986,,0,,,72
376,1986,,0,,,72
380,1986,,0,,,72
384,1986,,0,,,72
388,1986,,0,,,72
392,1986,,0,,,72
398,1986,,0,,,72
400,1986,,0,,,72
404,1986,,0,,,72
410,1986,,0,,,72
414,1986,,0,,,72
417,1986,,0,,,72
418,1986,,0,,,72
422,1986,,0,,,72
428,1986,,0,,,72
430,1986,,0,,,72
434,1986,,0,,,72
440,1986,,0,,,72
450,1986,,0,,,72
454,1986,,0,,,72
458,1986,,0,,,72
466,1986,,0,,,72
478,1986,,0,,,72
480,1986,,0,,,72
484,1986,,0,,,72
496,1986,,0,,,72
498,1986,,0,,,72
504,1986,,0,,,72
508,1986,,0,,,72
512,1986,,0,,,72
516,1986,,0,,,72
524,1986,,0,,,72
528,1986,,0,,,72
554,1986,,0,,,72
558,1986,,0,,,72
562,1986,,0,,,72
566,1986,,0,,,72
578,1986,,0,,,72
586,1986,,0,,,72
591,1986,,0,,,72
598,1986,,0,,,72
600,1986,,0,,,72
604,1986,,0,,,72
608,1986,,0,,,72
616,1986,,0,,,72
620,1986,,0,,,72
634,1986,,0,,,72
642,1986,,0,,,72
643,1986,,0,,,72
646,1986,,0,,,72
682,1986,,0,,,72
686,1986,,0,,,72
688,1986,,0,,,72
702,1986,,0,,,72
703,1986,,0,,,72
704,1986,,0,,,72
705,1986,,0,,,72
710,1986,,0,,,72
716,1986,,0,,,72
