product_code,x,y,cluster_name
9113,-1.329041801441966,-2.0826073203626527,Electronic and Electrical Goods
7004,-1.7516671283664944,0.2489388187098882,Industrial Chemicals and Metals
8537,-1.2372120100610495,-1.2202484301752934,Electronic and Electrical Goods
9003,-1.1066971692538157,-1.6588189535601887,Electronic and Electrical Goods
1905,1.531626820594134,0.5451000985331369,Agriculture
4808,1.1409256656153903,0.5081794071418715,Agriculture
5603,-1.6526265331220238,0.5156065527840359,Textile Apparel and Accessories
8513,-0.6105232445611439,-1.573211866413585,Metalworking and Electrical Machinery and Parts
4809,-1.3107938021262011,0.1111747966177754,Agriculture
1208,1.47747885284174,1.5965466292506876,Agriculture
4907,0.9102537274632084,0.8448740324388653,Agriculture
102,1.4285194043500802,1.4144773868358749,Agriculture
8215,0.6148960077127947,-1.3125951725541656,Textile and Home Goods
